date,flight_number,route,aircraft_type,seats,distance_nm,scheduled_block_hours,actual_block_hours,dep_time_local,arr_time_sched_local,arr_time_actual_local,dep_delay_min,arr_delay_min,otp_arrival_15m,turnaround_time_min,weather_index,atc_congestion_index,wind_component_index,load_factor,pax,payload_kg,fuel_burn_kg,fuel_cost_inr_thousands,crew_cost_inr_thousands,maint_cost_inr_thousands,other_cost_inr_thousands,total_cost_inr_thousands,revenue_inr_thousands,profit_inr_thousands,extra_flight_possible_flag
2024-12-28,6E 2003,DEL-BOM,A320neo,186,707,2.36,2.42,13:00,15:21,15:31,5.9,10.4,1,29,0.305,0.136,0.183,0.763,142,3309,5107,314.3,67.7,29.0,26.3,437.3,939.9,502.6,0
2025-06-10,6E 2004,DEL-BOM,A320neo,186,707,2.26,2.25,15:30,17:45,17:50,1.6,5.3,1,34,0.055,0.142,0.352,0.806,150,2833,4742,288.3,62.9,27.0,25.9,404.1,1300.9,896.8,0
2025-01-28,6E 2002,DEL-BOM,A321neo,232,707,2.39,2.5,10:30,12:53,13:09,10.8,15.8,0,38,0.34,0.535,0.027,0.812,188,3538,5697,374.9,74.9,33.7,19.8,503.3,1619.1,1115.7,0
2025-02-08,6E 2006,DEL-BOM,A321neo,232,707,2.24,2.1,20:30,22:44,22:47,11.3,3.4,1,37,0.111,0.117,0.168,0.76,176,3191,4793,321.6,63.1,28.4,20.2,433.2,1067.9,634.6,1
2024-10-04,6E 2000,DEL-BOM,A321neo,232,707,2.23,2.2,05:30,07:43,08:01,17.2,18.4,0,35,0.122,0.19,0.09,0.882,205,4092,5025,339.7,66.0,29.7,17.7,453.1,1763.8,1310.7,0
2024-11-03,6E 2000,DEL-BOM,A320ceo,180,707,2.23,2.16,05:30,07:43,07:45,1.7,1.9,1,35,0.227,0.16,-0.022,0.819,147,2697,5024,325.5,56.3,30.3,28.2,440.3,1254.6,814.4,0
2024-11-09,6E 2001,DEL-BOM,A320neo,186,707,2.25,2.07,08:00,10:14,10:19,13.1,4.4,1,38,0.053,0.229,0.004,0.911,170,3352,4373,273.7,57.9,24.8,28.1,384.5,946.9,562.4,1
2025-04-22,6E 2007,DEL-BOM,A320ceo,180,707,2.23,2.2,23:00,01:14,01:26,14.7,12.2,1,42,0.239,0.142,0.069,0.811,146,2913,5101,353.2,57.1,30.8,23.3,464.4,967.1,502.7,0
2025-02-15,6E 2000,DEL-BOM,A320neo,186,707,2.22,2.15,05:30,07:43,07:43,9.0,0.0,1,40,0.23,0.065,0.112,0.877,163,2615,4534,332.1,60.2,25.8,26.0,444.0,1418.5,974.5,0
2024-10-16,6E 2002,DEL-BOM,A320ceo,180,707,2.21,2.41,10:30,12:42,13:06,11.8,23.8,0,34,0.082,0.435,0.011,0.879,158,3138,5588,394.9,62.6,33.7,19.4,510.6,1317.4,806.8,0
2025-01-03,6E 2005,DEL-BOM,A321neo,232,707,2.3,2.33,18:00,20:18,20:42,18.5,24.2,0,43,0.437,0.35,0.132,0.772,179,3613,5321,366.2,70.0,31.5,27.4,495.1,1000.9,505.8,0
2025-06-22,6E 2000,DEL-BOM,A320ceo,180,707,2.21,2.24,05:30,07:42,07:46,5.4,3.9,1,36,0.167,0.163,0.105,0.854,154,3088,5203,337.4,58.3,31.4,26.1,453.2,829.6,376.4,0
2025-07-06,6E 2004,DEL-BOM,A320neo,186,707,2.27,2.46,15:30,17:46,17:57,0.0,11.3,1,33,0.423,0.036,0.13,0.805,150,2578,5191,353.1,68.9,29.5,29.2,480.7,1249.1,768.3,0
2025-07-25,6E 2005,DEL-BOM,A320ceo,180,707,2.32,2.54,18:00,20:18,20:41,9.3,22.1,0,33,0.446,0.417,0.016,0.828,149,3018,5903,356.8,66.1,35.6,29.2,487.7,847.1,359.4,0
2025-06-30,6E 2001,DEL-BOM,A321neo,232,707,2.24,2.44,08:00,10:14,10:32,8.1,18.2,0,34,0.2,0.426,-0.22,0.913,212,4121,5578,408.2,73.3,33.0,20.9,535.3,1198.9,663.6,0
2024-08-27,6E 2001,DEL-BOM,A320neo,186,707,2.31,2.38,08:00,10:18,10:46,23.0,27.4,0,41,0.318,0.498,-0.027,0.773,144,3077,5025,372.4,66.6,28.5,23.5,491.1,851.4,360.3,0
2025-01-03,6E 2003,DEL-BOM,A320ceo,180,707,2.39,2.34,13:00,15:23,15:28,11.9,5.7,1,30,0.449,0.246,0.238,0.851,153,2344,5423,379.9,60.8,32.7,19.0,492.5,1314.4,822.0,0
2025-06-17,6E 2006,DEL-BOM,A320ceo,180,707,2.2,2.26,20:30,22:42,22:37,-4.3,-4.7,1,29,0.119,0.266,0.184,0.803,145,2480,5242,373.5,58.8,31.6,24.8,488.6,799.4,310.8,0
2025-04-07,6E 2000,DEL-BOM,A321neo,232,707,2.26,2.27,05:30,07:45,08:01,17.9,15.6,0,39,0.233,0.229,0.128,0.856,199,3029,5180,345.5,68.2,30.7,25.7,470.1,1148.8,678.8,0
2025-01-11,6E 2007,DEL-BOM,A320ceo,180,707,2.31,2.51,23:00,01:18,02:01,26.4,42.7,0,40,0.644,0.142,0.036,0.894,161,2955,5834,391.3,65.3,35.2,26.9,518.7,1254.2,735.5,0
2025-02-17,6E 2007,DEL-BOM,A320ceo,180,707,2.24,2.19,23:00,01:14,01:23,13.4,9.8,1,31,0.162,0.095,0.276,0.832,150,3045,5076,309.4,56.8,30.6,20.2,417.1,1168.8,751.7,0
2024-08-23,6E 2003,DEL-BOM,A320ceo,180,707,2.28,2.49,13:00,15:16,15:47,13.5,30.8,0,33,0.332,0.248,-0.09,0.828,149,3268,5795,351.6,64.9,34.9,15.7,467.0,1079.2,612.2,0
2024-10-02,6E 2001,DEL-BOM,A320ceo,180,707,2.26,2.32,08:00,10:15,10:33,19.2,17.7,0,40,0.125,0.338,0.253,0.945,170,3070,5380,372.8,60.2,32.4,19.6,485.1,1268.9,783.7,0
2024-11-05,6E 2003,DEL-BOM,A320neo,186,707,2.21,2.14,13:00,15:12,15:20,8.1,7.8,1,28,0.084,0.2,0.132,0.86,160,2903,4519,314.0,59.9,25.7,20.1,419.7,886.9,467.2,0
2025-06-08,6E 2004,DEL-BOM,A320ceo,180,707,2.23,2.32,15:30,17:43,18:04,13.4,21.2,0,44,0.11,0.172,-0.063,0.924,166,2919,5386,358.9,60.3,32.5,18.0,469.7,1417.6,948.0,0
2025-01-26,6E 2003,DEL-BOM,A320neo,186,707,2.36,2.67,13:00,15:21,15:59,14.2,37.4,0,31,0.672,0.172,0.003,0.837,156,3100,5634,352.6,74.7,32.0,19.6,478.8,1039.3,560.5,0
2025-01-01,6E 2005,DEL-BOM,A321neo,232,707,2.32,2.37,18:00,20:18,20:38,15.1,19.4,0,40,0.316,0.37,0.109,0.737,171,2905,5410,330.7,71.2,32.0,17.7,451.7,1267.1,815.4,0
2025-06-12,6E 2002,DEL-BOM,A320neo,186,707,2.23,2.2,10:30,12:43,12:49,5.6,6.0,1,35,0.151,0.378,0.187,0.823,153,3092,4644,322.5,61.6,26.4,25.8,436.2,1132.0,695.8,0
2025-02-08,6E 2001,DEL-BOM,A320neo,186,707,2.25,2.06,08:00,10:15,09:58,-5.0,-8.0,1,34,0.179,0.163,0.177,0.893,166,3511,4350,314.8,57.6,24.7,25.3,422.4,1435.9,1013.5,1
2025-01-26,6E 2005,DEL-BOM,A321neo,232,707,2.36,2.31,18:00,20:21,20:29,11.5,7.9,1,37,0.425,0.19,0.14,0.823,191,3846,5280,338.5,69.4,31.2,20.0,459.1,1554.3,1095.1,0
2025-01-05,6E 2004,DEL-BOM,A320neo,186,707,2.34,2.33,15:30,17:50,18:01,11.0,11.0,1,38,0.686,0.066,0.1,0.758,141,2717,4915,348.2,65.2,27.9,17.1,458.4,1086.1,627.7,0
2025-07-26,6E 2003,DEL-BOM,A320neo,186,707,2.31,2.43,13:00,15:18,15:29,-1.5,11.4,1,38,0.458,0.15,0.02,0.782,145,3718,5131,319.1,67.9,29.1,24.6,440.8,846.1,405.3,0
2024-12-05,6E 2007,DEL-BOM,A320ceo,180,707,2.36,2.43,23:00,01:21,01:39,16.2,17.4,0,36,0.47,0.173,0.166,0.829,149,2911,5637,370.2,63.1,34.0,15.6,483.0,1090.4,607.5,0
2025-03-25,6E 2004,DEL-BOM,A320neo,186,707,2.24,2.2,15:30,17:44,17:49,8.1,5.3,1,28,0.195,0.226,0.194,0.881,164,3116,4639,334.2,61.5,26.4,15.4,437.5,1309.8,872.2,0
2025-06-26,6E 2001,DEL-BOM,A320neo,186,707,2.21,2.34,08:00,10:12,10:30,9.5,17.6,0,33,0.146,0.372,0.049,0.804,150,2604,4930,317.6,65.4,28.0,18.2,429.3,1179.1,749.8,0
2025-06-26,6E 2000,DEL-BOM,A320neo,186,707,2.25,2.21,05:30,07:44,07:40,1.2,-4.0,1,37,0.124,0.157,0.206,0.779,145,2986,4670,313.1,61.9,26.5,22.3,423.8,926.1,502.3,0
2025-07-24,6E 2002,DEL-BOM,A321neo,232,707,2.26,2.47,10:30,12:45,13:17,20.6,31.8,0,38,0.314,0.33,0.185,0.834,194,4126,5641,394.3,74.1,33.3,24.8,526.5,1428.6,902.0,0
2024-08-21,6E 2004,DEL-BOM,A320ceo,180,707,2.31,2.63,15:30,17:48,18:21,14.3,33.6,0,34,0.38,0.152,0.112,0.868,156,3285,6098,370.0,68.3,36.8,17.8,492.8,1205.7,712.9,0
2024-12-18,6E 2005,DEL-BOM,A320ceo,180,707,2.3,2.35,18:00,20:18,20:25,9.9,7.3,1,33,0.398,0.428,0.248,0.824,148,2571,5459,384.8,61.2,32.9,21.3,500.2,964.0,463.8,0
2025-04-28,6E 2000,DEL-BOM,A320neo,186,707,2.21,2.38,05:30,07:42,08:05,10.1,22.6,0,39,0.219,0.11,0.145,0.897,167,3244,5032,347.2,66.7,28.6,22.1,464.6,1143.7,679.2,0
2025-04-09,6E 2003,DEL-BOM,A321neo,232,707,2.22,2.29,13:00,15:13,15:24,11.3,11.1,1,49,0.202,0.064,0.085,0.889,206,3179,5217,369.4,68.6,30.9,19.1,488.0,1727.6,1239.6,0
2024-09-03,6E 2000,DEL-BOM,A320ceo,180,707,2.3,2.36,05:30,07:48,07:39,-2.6,-8.0,1,33,0.399,0.212,0.053,0.818,147,2133,5467,397.5,61.3,33.0,21.1,512.9,824.6,311.6,0
2025-01-16,6E 2006,DEL-BOM,A320neo,186,707,2.39,2.59,20:30,22:53,23:22,11.5,29.1,0,32,0.49,0.384,0.036,0.732,136,3168,5464,406.8,72.4,31.0,26.1,536.3,1083.1,546.8,0
2024-08-24,6E 2003,DEL-BOM,A320neo,186,707,2.29,2.25,13:00,15:17,15:22,8.2,4.7,1,33,0.255,0.159,-0.048,0.679,126,2195,4752,308.0,63.1,27.0,28.2,426.3,941.7,515.4,0
2025-08-04,6E 2005,DEL-BOM,A320neo,186,707,2.29,2.34,18:00,20:17,20:31,8.4,13.6,1,37,0.458,0.273,0.113,0.75,140,2508,4943,330.5,65.6,28.1,25.1,449.3,1090.1,640.9,0
2025-04-25,6E 2007,DEL-BOM,A321neo,232,707,2.21,2.19,23:00,01:12,01:13,2.2,0.9,1,40,0.076,0.056,-0.059,0.896,208,4594,5015,317.5,65.8,29.6,15.6,428.5,1353.1,924.6,0
2024-10-10,6E 2004,DEL-BOM,A320ceo,180,707,2.25,2.3,15:30,17:45,18:02,12.4,17.5,0,34,0.215,0.18,0.2,0.779,140,2734,5339,390.8,59.8,32.2,25.0,507.8,986.4,478.7,0
2025-06-23,6E 2000,DEL-BOM,A321neo,232,707,2.23,2.3,05:30,07:43,07:54,5.7,10.3,1,36,0.191,0.148,0.195,0.832,193,3688,5253,332.6,69.0,31.1,18.8,451.5,1031.4,579.9,0
2025-07-03,6E 2001,DEL-BOM,A321neo,232,707,2.26,2.36,08:00,10:15,10:27,8.7,12.6,1,42,0.387,0.178,0.132,0.92,213,3955,5397,363.4,70.9,31.9,15.8,482.0,1141.7,659.7,0
2025-08-17,6E 2002,DEL-BOM,A320ceo,180,707,2.29,2.39,10:30,12:47,13:05,10.8,18.2,0,40,0.397,0.338,0.109,0.962,173,3879,5550,345.8,62.1,33.4,18.6,459.9,1393.9,934.0,0
2024-08-24,6E 2006,DEL-BOM,A321neo,232,707,2.3,2.43,20:30,22:47,23:00,11.7,12.4,1,34,0.401,0.097,0.119,0.839,195,3493,5548,398.7,72.9,32.8,19.2,523.7,1287.2,763.5,0
2024-08-26,6E 2003,DEL-BOM,A321neo,232,707,2.26,2.35,13:00,15:15,15:23,2.1,7.3,1,39,0.276,0.083,-0.064,0.86,199,3175,5359,393.8,70.5,31.7,25.2,521.2,1487.8,966.6,0
2024-09-24,6E 2006,DEL-BOM,A320neo,186,707,2.3,2.55,20:30,22:47,23:13,6.1,25.7,0,40,0.497,0.333,0.11,0.775,144,3814,5391,349.8,71.4,30.6,18.0,469.8,757.4,287.6,0
2025-01-31,6E 2000,DEL-BOM,A320neo,186,707,2.33,2.36,05:30,07:49,07:59,9.9,9.5,1,30,0.353,0.105,0.095,0.832,155,2853,4989,360.7,66.2,28.4,17.5,472.7,1135.2,662.5,0
2025-01-07,6E 2000,DEL-BOM,A320ceo,180,707,2.38,2.46,05:30,07:52,07:57,8.1,4.7,1,37,0.484,0.127,0.147,0.847,152,2755,5719,423.4,64.1,34.5,23.7,545.6,874.8,329.2,0
2025-06-24,6E 2000,DEL-BOM,A320ceo,180,707,2.25,2.25,05:30,07:44,08:01,19.1,16.3,0,36,0.077,0.25,0.15,0.909,164,2580,5229,354.8,58.6,31.6,28.9,473.9,1148.4,674.5,0
2025-03-11,6E 2002,DEL-BOM,A320neo,186,707,2.23,2.24,10:30,12:43,13:03,18.9,19.4,0,34,0.072,0.37,0.178,0.869,162,3817,4732,312.9,62.6,26.8,19.9,422.4,925.5,503.1,0
2025-07-28,6E 2000,DEL-BOM,A320neo,186,707,2.26,2.23,05:30,07:45,07:58,12.2,12.5,1,31,0.277,0.104,-0.08,0.837,156,2926,4719,327.3,62.6,26.8,17.4,434.1,1302.4,868.3,0
2025-05-17,6E 2002,DEL-BOM,A320neo,186,707,2.2,2.31,10:30,12:42,13:08,13.1,25.9,0,37,0.123,0.41,0.026,0.922,172,2891,4877,331.1,64.7,27.7,28.5,452.0,1449.9,997.9,0
2025-05-07,6E 2000,DEL-BOM,A320neo,186,707,2.23,2.16,05:30,07:43,07:39,1.8,-4.2,1,34,0.132,0.198,0.123,0.936,174,2922,4554,331.7,60.4,25.9,18.0,436.0,1088.5,652.5,0
2024-10-21,6E 2007,DEL-BOM,A321neo,232,707,2.24,2.34,23:00,01:14,01:22,2.3,8.2,1,42,0.055,0.056,0.053,0.915,212,3785,5346,346.8,70.2,31.6,29.6,478.3,1689.4,1211.1,0
2025-03-22,6E 2002,DEL-BOM,A320ceo,180,707,2.22,2.12,10:30,12:43,12:48,11.4,5.0,1,38,0.242,0.355,0.128,0.862,155,3321,4927,322.6,55.1,29.7,22.4,429.8,997.7,567.8,0
2024-10-12,6E 2006,DEL-BOM,A320ceo,180,707,2.24,2.42,20:30,22:44,22:55,1.8,11.4,1,36,0.206,0.327,0.259,0.722,130,2810,5616,344.6,62.9,33.9,23.7,465.1,1095.0,630.0,0
2024-11-19,6E 2000,DEL-BOM,A320ceo,180,707,2.21,2.25,05:30,07:42,07:51,11.2,8.8,1,37,0.221,0.102,0.086,0.878,158,2911,5215,362.5,58.4,31.4,17.9,470.3,1341.1,870.8,0
2024-09-04,6E 2004,DEL-BOM,A320neo,186,707,2.29,2.37,15:30,17:47,17:58,14.7,11.4,1,34,0.532,0.056,-0.054,0.937,174,3712,5010,356.7,66.3,28.4,29.6,481.0,1403.8,922.8,0
2025-04-09,6E 2004,DEL-BOM,A320neo,186,707,2.26,2.31,15:30,17:45,18:00,6.2,15.5,0,39,0.179,0.181,0.116,0.846,157,3422,4872,310.4,64.5,27.7,27.8,430.4,1274.8,844.4,0
2025-05-27,6E 2007,DEL-BOM,A320neo,186,707,2.25,2.51,23:00,01:15,01:45,14.4,30.6,0,34,0.238,0.203,0.11,0.827,154,2813,5293,375.2,70.2,30.1,29.7,505.2,836.6,331.4,0
2025-04-21,6E 2005,DEL-BOM,A320ceo,180,707,2.24,2.26,18:00,20:14,20:26,12.2,11.7,1,33,0.164,0.225,0.28,0.786,141,2658,5247,358.4,58.8,31.7,16.7,465.5,1184.4,718.9,0
2025-03-23,6E 2005,DEL-BOM,A320neo,186,707,2.2,2.18,18:00,20:12,20:15,4.5,3.6,1,34,0.241,0.251,0.068,0.792,147,2897,4610,327.0,61.1,26.2,24.7,439.0,998.2,559.2,0
2025-01-16,6E 2003,DEL-BOM,A321neo,232,707,2.31,2.36,13:00,15:18,15:37,12.9,18.3,0,38,0.663,0.183,0.161,0.859,199,4343,5391,358.1,70.8,31.8,16.0,476.8,1548.0,1071.2,0
2024-12-27,6E 2004,DEL-BOM,A320ceo,180,707,2.38,2.46,15:30,17:52,18:16,13.5,23.3,0,41,0.329,0.236,0.194,0.816,147,3420,5707,418.8,63.9,34.4,23.8,540.8,898.8,357.9,0
2025-05-28,6E 2007,DEL-BOM,A320ceo,180,707,2.21,2.15,23:00,01:12,01:16,6.9,4.0,1,40,0.125,0.192,-0.059,0.822,148,2357,4996,335.2,56.0,30.2,20.3,441.7,1029.8,588.1,0
2025-06-30,6E 2005,DEL-BOM,A321neo,232,707,2.22,2.32,18:00,20:13,20:31,11.0,18.0,0,42,0.225,0.372,0.261,0.813,189,3812,5307,372.9,69.7,31.4,19.5,493.5,1112.6,619.1,0
2025-08-15,6E 2002,DEL-BOM,A321neo,232,707,2.26,2.46,10:30,12:45,13:01,6.8,16.1,0,41,0.509,0.44,0.002,0.905,210,3744,5626,382.1,73.9,33.3,18.7,508.0,1829.0,1321.0,0
2024-09-21,6E 2001,DEL-BOM,A321neo,232,707,2.25,2.33,08:00,10:15,10:37,11.0,22.2,0,44,0.329,0.325,0.183,0.94,218,3833,5329,321.6,70.0,31.5,19.8,443.0,1359.8,916.8,0
2025-03-17,6E 2003,DEL-BOM,A321neo,232,707,2.21,2.32,13:00,15:12,15:32,12.5,20.2,0,37,0.152,0.068,0.112,0.761,177,2726,5276,372.2,69.5,31.3,26.4,499.3,1025.9,526.6,0
2024-08-22,6E 2007,DEL-BOM,A321neo,232,707,2.31,2.41,23:00,01:18,01:37,8.3,18.8,0,38,0.447,0.05,0.038,0.844,196,3163,5498,338.5,72.3,32.5,20.0,463.4,1286.0,822.7,0
2025-04-10,6E 2000,DEL-BOM,A321neo,232,707,2.23,2.2,05:30,07:43,08:00,11.3,17.0,0,38,0.109,0.219,0.14,0.85,197,4056,5035,367.3,66.1,29.8,17.4,480.6,1496.2,1015.6,0
2025-06-09,6E 2001,DEL-BOM,A320neo,186,707,2.25,2.35,08:00,10:15,10:22,2.0,6.9,1,33,0.131,0.246,-0.112,0.75,139,2925,4964,302.9,65.8,28.2,26.0,422.9,747.7,324.8,0
2025-01-21,6E 2003,DEL-BOM,A320neo,186,707,2.33,2.56,13:00,15:19,15:39,5.8,19.9,0,33,0.458,0.142,0.178,0.894,166,2935,5412,364.3,71.8,30.8,20.3,487.1,1142.3,655.2,0
2025-05-03,6E 2007,DEL-BOM,A320neo,186,707,2.25,2.19,23:00,01:14,01:17,5.9,2.8,1,38,0.092,0.081,0.199,0.878,163,3097,4626,294.7,61.3,26.3,24.9,407.2,1433.5,1026.3,0
2025-07-04,6E 2006,DEL-BOM,A320neo,186,707,2.27,2.27,20:30,22:46,23:02,15.6,16.3,0,40,0.488,0.444,0.244,0.967,180,3497,4791,357.2,63.5,27.2,18.4,466.3,1212.3,746.1,0
2024-09-29,6E 2002,DEL-BOM,A320neo,186,707,2.27,2.27,10:30,12:46,12:56,8.6,10.3,1,35,0.596,0.18,0.218,0.748,139,2338,4786,344.9,63.5,27.2,22.3,458.0,1144.5,686.5,0
2024-11-07,6E 2001,DEL-BOM,A320neo,186,707,2.23,2.35,08:00,10:13,10:31,12.3,18.0,0,37,0.064,0.329,-0.103,0.91,169,4252,4980,331.9,65.9,28.2,25.7,451.8,1069.2,617.4,0
2024-12-15,6E 2006,DEL-BOM,A320neo,186,707,2.33,2.43,20:30,22:49,23:04,8.3,14.7,1,35,0.471,0.381,0.167,0.777,145,2260,5122,344.2,68.0,29.1,18.8,460.2,898.0,437.8,0
2024-10-16,6E 2007,DEL-BOM,A320ceo,180,707,2.2,2.3,23:00,01:12,01:19,3.7,7.3,1,31,0.189,0.191,0.047,0.769,138,2535,5335,344.4,59.8,32.2,24.6,461.0,853.1,392.1,0
2025-05-30,6E 2007,DEL-BOM,A320ceo,180,707,2.23,2.13,23:00,01:13,01:16,10.7,2.6,1,34,0.163,0.195,0.047,0.9,162,4142,4954,356.1,55.4,29.8,26.7,468.0,1433.5,965.5,0
2024-11-04,6E 2004,DEL-BOM,A320neo,186,707,2.23,2.14,15:30,17:43,17:53,9.5,9.9,1,33,0.116,0.135,0.125,0.817,152,3211,4527,291.0,60.0,25.7,28.8,405.5,1166.9,761.4,0
2025-08-18,6E 2005,DEL-BOM,A320neo,186,707,2.3,2.55,18:00,20:17,20:47,17.5,29.7,0,29,0.342,0.359,0.158,0.911,170,3275,5396,337.9,71.5,30.6,23.5,463.5,1278.0,814.4,0
2024-12-31,6E 2003,DEL-BOM,A321neo,232,707,2.31,2.24,13:00,15:18,15:23,3.9,4.8,1,39,0.454,0.16,0.112,0.9,209,3241,5118,375.9,67.3,30.3,28.6,502.1,1553.7,1051.6,0
2025-01-03,6E 2002,DEL-BOM,A321neo,232,707,2.35,2.54,10:30,12:51,12:57,1.0,6.8,1,39,0.341,0.237,0.207,0.923,214,3824,5803,362.1,76.2,34.3,18.5,491.2,1686.2,1195.0,0
2024-10-09,6E 2006,DEL-BOM,A320neo,186,707,2.22,2.32,20:30,22:43,22:57,9.6,13.8,1,38,0.094,0.265,0.004,0.829,154,3177,4894,351.8,64.9,27.8,17.2,461.6,822.1,360.4,0
2024-08-29,6E 2007,DEL-BOM,A320ceo,180,707,2.25,2.37,23:00,01:15,01:31,7.6,16.6,0,33,0.404,0.125,-0.01,0.857,154,2618,5502,408.4,61.6,33.2,21.9,525.1,818.2,293.0,0
2025-04-26,6E 2000,DEL-BOM,A320ceo,180,707,2.23,2.22,05:30,07:43,07:36,-5.0,-7.7,1,39,0.051,0.011,0.114,0.841,151,2913,5143,331.2,57.6,31.0,17.6,437.4,1218.0,780.5,0
2024-11-27,6E 2000,DEL-BOM,A321neo,232,707,2.24,2.24,05:30,07:44,07:54,5.9,9.9,1,37,0.102,0.247,0.15,0.948,220,4310,5125,382.3,67.3,30.3,26.5,506.3,1842.6,1336.2,0
2025-07-21,6E 2001,DEL-BOM,A320neo,186,707,2.3,2.34,08:00,10:18,10:32,16.6,14.1,1,36,0.453,0.333,0.041,0.853,159,3491,4948,323.4,65.5,28.1,26.7,443.7,1237.0,793.3,0
2024-09-17,6E 2004,DEL-BOM,A320ceo,180,707,2.29,2.36,15:30,17:47,17:57,11.3,10.5,1,37,0.318,0.223,0.01,0.915,165,3128,5484,363.7,61.4,33.1,15.4,473.6,1046.6,573.0,0
2024-09-29,6E 2005,DEL-BOM,A320neo,186,707,2.3,2.45,18:00,20:18,20:46,16.1,28.4,0,34,0.538,0.471,0.112,0.909,169,3616,5172,354.1,68.5,29.4,26.5,478.5,1031.9,553.4,0
2024-09-12,6E 2000,DEL-BOM,A321neo,232,707,2.3,2.37,05:30,07:48,08:10,13.4,22.5,0,35,0.521,0.16,0.16,0.781,181,3415,5403,352.2,71.0,32.0,22.0,477.2,1123.2,646.0,0
2025-03-15,6E 2001,DEL-BOM,A321neo,232,707,2.21,2.25,08:00,10:12,10:25,12.6,13.2,1,41,0.237,0.288,0.18,0.826,192,3764,5142,374.8,67.6,30.4,19.8,492.6,1221.4,728.8,0
2025-02-06,6E 2000,DEL-BOM,A320ceo,180,707,2.24,2.18,05:30,07:44,07:57,12.2,12.4,1,36,0.224,0.197,0.123,0.853,153,2626,5049,340.8,56.6,30.5,28.0,455.9,1223.4,767.6,0
2025-04-18,6E 2007,DEL-BOM,A321neo,232,707,2.25,2.18,23:00,01:15,01:09,1.3,-5.4,1,46,0.147,0.071,0.04,0.72,167,3543,4970,367.3,65.3,29.4,23.3,485.3,1073.6,588.3,0
2025-02-28,6E 2004,DEL-BOM,A320ceo,180,707,2.2,2.2,15:30,17:42,17:49,5.4,7.3,1,36,0.082,0.168,0.229,0.854,154,3441,5120,343.4,57.3,30.9,19.2,450.7,983.3,532.6,0
2024-10-17,6E 2007,DEL-BOM,A320ceo,180,707,2.22,2.07,23:00,01:12,01:11,4.6,-1.1,1,41,0.179,0.243,0.107,0.777,140,3040,4813,307.3,53.9,29.0,30.0,420.2,1180.1,759.9,1
